"filename", "language", "C++", "comment", "blank", "total"
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/DSP/TerminalCircuit.cpp", "C++", -399, -304, -156, -859
"/Users/williamsmith/Desktop/Terminal_Fuzz_Plugin/Source/DSP/TerminalCircuit.h", "C++", -75, -164, -35, -274
"Total", "-", -474, -468, -191, -1133
